,Disease,Epidemiology,Clinical findings,Transmission,Agent,Incubation period,Diagnostic tests,tokenized,pos_tagged,synsets
0,anthrax,anthrax occurs mainly rural areas countries livestock vaccination veterinary control slaughtered animals gi anthrax occurs infected tissue ingested,depends portal entry skin lesion characteristic black eschar surrounded edema usually head forearms hands accompanied malaise fever gi anthrax produces nausea vomiting abdominal pain fever hematemesis occasionally bloody diarrhea often fatal septicemia shock,contact infected animal tissue,spores bacillus anthracis,1–7 days 60 days case low inhaled dose,microscopy m’fadyan stain bacterial culture lesion blood respiratory specimen pcr elisa,"['anthrax', 'occurs', 'mainly', 'rural', 'areas', 'countries', 'livestock', 'vaccination', 'veterinary', 'control', 'slaughtered', 'animals', 'gi', 'anthrax', 'occurs', 'infected', 'tissue', 'ingested']","[('anthrax', 'NN'), ('occurs', 'VBZ'), ('mainly', 'RB'), ('rural', 'JJ'), ('areas', 'NNS'), ('countries', 'NNS'), ('livestock', 'VBP'), ('vaccination', 'NN'), ('veterinary', 'JJ'), ('control', 'NN'), ('slaughtered', 'VBD'), ('animals', 'NNS'), ('gi', 'JJ'), ('anthrax', 'NN'), ('occurs', 'VBZ'), ('infected', 'JJ'), ('tissue', 'NN'), ('ingested', 'VBD')]","[Synset('anthrax.n.01'), Synset('happen.v.01'), Synset('chiefly.r.01'), Synset('rural.a.01'), Synset('area.n.01'), Synset('state.n.04'), None, Synset('inoculation.n.01'), Synset('veterinary.a.01'), Synset('control.n.01'), Synset('butcher.v.01'), Synset('animal.n.01'), Synset('gastrointestinal.a.01'), Synset('anthrax.n.01'), Synset('happen.v.01'), Synset('septic.a.01'), Synset('tissue.n.01'), Synset('consume.v.02')]"
1,bartonellosis bartonella bacilliformis,bartonellosis due b bacilliformis originally restricted high dry mountain valleys 600 3200 meters andes colombia ecuador peru since 1997 expanded geographically utcubamba river valley cusco la libertad lowlying hills 600 meters coastal ecuador,verruga peruana may occur without evident acute phase oroya fever fevermyalgia arthralgia headache evolving severe hemolytic anemia generalized lymphadenopathy hepatosplenomegaly milder symptoms children,bite female sandfly usually dusk sundown rarely blood transfusion transplacental,bartonella bacilliformis,16–22 days occasionally 7 months,giemsa stain red blood cells dermal biopsy blood culture special media results take 3–6 weeks pcr serology,"['bartonellosis', 'due', 'b', 'bacilliformis', 'originally', 'restricted', 'high', 'dry', 'mountain', 'valleys', '600', '3200', 'meters', 'andes', 'colombia', 'ecuador', 'peru', 'since', '1997', 'expanded', 'geographically', 'utcubamba', 'river', 'valley', 'cusco', 'la', 'libertad', 'lowlying', 'hills', '600', 'meters', 'coastal', 'ecuador']","[('bartonellosis', 'NN'), ('due', 'JJ'), ('b', 'NN'), ('bacilliformis', 'NN'), ('originally', 'RB'), ('restricted', 'VBN'), ('high', 'JJ'), ('dry', 'JJ'), ('mountain', 'NN'), ('valleys', 'NNS'), ('600', 'CD'), ('3200', 'CD'), ('meters', 'NNS'), ('andes', 'IN'), ('colombia', 'JJ'), ('ecuador', 'NN'), ('peru', 'NN'), ('since', 'IN'), ('1997', 'CD'), ('expanded', 'VBD'), ('geographically', 'RB'), ('utcubamba', 'JJ'), ('river', 'NN'), ('valley', 'NN'), ('cusco', 'NN'), ('la', 'NN'), ('libertad', 'FW'), ('lowlying', 'VBG'), ('hills', 'NNS'), ('600', 'CD'), ('meters', 'NNS'), ('coastal', 'JJ'), ('ecuador', 'NN')]","[None, Synset('due.a.01'), Synset('bacillus.n.01'), None, Synset('originally.r.01'), Synset('restrict.v.01'), Synset('high.a.01'), Synset('dry.a.01'), Synset('mountain.n.01'), Synset('valley.n.01'), None, None, Synset('meter.n.01'), None, None, Synset('ecuador.n.01'), Synset('peru.n.01'), None, None, Synset('expand.v.01'), Synset('geographically.r.01'), None, Synset('river.n.01'), Synset('valley.n.01'), Synset('cuzco.n.01'), Synset('lanthanum.n.01'), None, None, Synset('hill.n.01'), None, Synset('meter.n.01'), Synset('coastal.a.01'), Synset('ecuador.n.01')]"
2,bartonellosis bartonella quintana,trench fever named afterinfected soldiers trenches world war trench fever sign social turmoil personal hardship,‘classic’ trench fever characterized febrile attacks last 1 3 days headache shin pain dizziness,transmission humans occurs rubbing infected louse feces abraded skin conjunctivae,bartonella quintana formerly rochalimaea quintana rickettsia quintana,5–20 days median 8 days,blood culture prolonged incubation 42 days pcr blood tissue,"['trench', 'fever', 'named', 'afterinfected', 'soldiers', 'trenches', 'world', 'war', 'trench', 'fever', 'sign', 'social', 'turmoil', 'personal', 'hardship']","[('trench', 'NN'), ('fever', 'NN'), ('named', 'VBN'), ('afterinfected', 'JJ'), ('soldiers', 'NNS'), ('trenches', 'NNS'), ('world', 'NN'), ('war', 'NN'), ('trench', 'NN'), ('fever', 'NN'), ('sign', 'NN'), ('social', 'JJ'), ('turmoil', 'NN'), ('personal', 'JJ'), ('hardship', 'NN')]","[Synset('trench.n.01'), Synset('fever.n.01'), Synset('name.v.01'), None, Synset('soldier.n.01'), Synset('trench.n.01'), Synset('universe.n.01'), Synset('war.n.01'), Synset('trench.n.01'), Synset('fever.n.01'), Synset('sign.n.01'), Synset('social.a.01'), Synset('convulsion.n.03'), Synset('personal.a.01'), Synset('adversity.n.01')]"
3,botulism,rare good disease burden data lacking underdiagnosis common botulism usually occurs outbreaks exposed food thailand 83 cases deer meat 163 bamboo shoots poland 276 preserved food georgia 217 homepreserved – vegetables,fatigue weakness vertigo blurred vision dry mouth difficulty speaking swallowing progressing inability breathe without assistance vomiting diarrhea constipation may occur,ingestion contaminated food honey infant botulism injection contaminated drugs contamination wounds soil dust gravel,botulinum toxin produced anerobic sporeforming bacterium clostridium botulinum,usually 12–36 hours sometimes several days 2 weeks wound botulism,detection toxin serum stool wounds mouse inoculation elisa culture bacterium stool wound electromyography,"['rare', 'good', 'disease', 'burden', 'data', 'lacking', 'underdiagnosis', 'common', 'botulism', 'usually', 'occurs', 'outbreaks', 'exposed', 'food', 'thailand', '83', 'cases', 'deer', 'meat', '163', 'bamboo', 'shoots', 'poland', '276', 'preserved', 'food', 'georgia', '217', 'homepreserved', '–', 'vegetables']","[('rare', 'JJ'), ('good', 'JJ'), ('disease', 'NN'), ('burden', 'NN'), ('data', 'NNS'), ('lacking', 'VBG'), ('underdiagnosis', 'JJ'), ('common', 'JJ'), ('botulism', 'NN'), ('usually', 'RB'), ('occurs', 'VBZ'), ('outbreaks', 'NNS'), ('exposed', 'VBN'), ('food', 'NN'), ('thailand', 'NN'), ('83', 'CD'), ('cases', 'NNS'), ('deer', 'VBP'), ('meat', 'NN'), ('163', 'CD'), ('bamboo', 'NN'), ('shoots', 'NNS'), ('poland', 'VBP'), ('276', 'CD'), ('preserved', 'VBD'), ('food', 'NN'), ('georgia', 'NN'), ('217', 'CD'), ('homepreserved', 'VBD'), ('–', 'NN'), ('vegetables', 'NNS')]","[Synset('rare.s.01'), Synset('good.a.01'), Synset('disease.n.01'), Synset('burden.n.01'), Synset('data.n.01'), Synset('miss.v.06'), None, Synset('common.a.01'), Synset('botulism.n.01'), Synset('normally.r.01'), Synset('happen.v.01'), Synset('outbreak.n.01'), Synset('expose.v.01'), Synset('food.n.01'), Synset('thailand.n.01'), None, Synset('case.n.01'), None, Synset('meat.n.01'), None, Synset('bamboo.n.01'), Synset('shoot.n.01'), None, None, Synset('continue.v.03'), Synset('food.n.01'), Synset('georgia.n.01'), None, None, None, Synset('vegetable.n.01')]"
4,brucellosis,disease occurs mostly areas common consume unpasteurized dairy products soft cheese poor veterinary health systems exist incidence highest males occupational exposure highest incidences recorded mediterranean countries middle east central america central asia,acute irregular fever chills sweating arthralgia headache depression,enteric ingestion unpasteurized milk milk products soft cheese yoghurt infected animals direct inoculation mucosa skin infected animal tissue inhalation housing infected animals,brucella melitensis b abortus b suis b canis intracellular gramnegative bacilli,usually 14–21 days several months,blood bone marrow culture infected bodily tissues urine csf serology pcr,"['disease', 'occurs', 'mostly', 'areas', 'common', 'consume', 'unpasteurized', 'dairy', 'products', 'soft', 'cheese', 'poor', 'veterinary', 'health', 'systems', 'exist', 'incidence', 'highest', 'males', 'occupational', 'exposure', 'highest', 'incidences', 'recorded', 'mediterranean', 'countries', 'middle', 'east', 'central', 'america', 'central', 'asia']","[('disease', 'NN'), ('occurs', 'VBZ'), ('mostly', 'RB'), ('areas', 'NNS'), ('common', 'JJ'), ('consume', 'VBP'), ('unpasteurized', 'JJ'), ('dairy', 'NN'), ('products', 'NNS'), ('soft', 'JJ'), ('cheese', 'JJ'), ('poor', 'JJ'), ('veterinary', 'JJ'), ('health', 'NN'), ('systems', 'NNS'), ('exist', 'VBP'), ('incidence', 'NN'), ('highest', 'JJS'), ('males', 'NNS'), ('occupational', 'JJ'), ('exposure', 'NN'), ('highest', 'JJS'), ('incidences', 'NNS'), ('recorded', 'VBD'), ('mediterranean', 'JJ'), ('countries', 'NNS'), ('middle', 'VBP'), ('east', 'JJ'), ('central', 'JJ'), ('america', 'JJ'), ('central', 'JJ'), ('asia', 'NN')]","[Synset('disease.n.01'), Synset('happen.v.01'), Synset('largely.r.01'), Synset('area.n.01'), Synset('common.a.01'), Synset('devour.v.03'), Synset('unpasteurized.a.01'), Synset('dairy.n.01'), Synset('merchandise.n.01'), Synset('soft.a.01'), None, Synset('hapless.s.01'), Synset('veterinary.a.01'), Synset('health.n.01'), Synset('system.n.01'), Synset('exist.v.01'), Synset('incidence.n.01'), Synset('high.a.01'), Synset('male.n.01'), Synset('occupational.a.01'), Synset('exposure.n.01'), Synset('high.a.01'), Synset('incidence.n.01'), Synset('record.v.01'), Synset('mediterranean.a.01'), Synset('state.n.04'), Synset('middle.v.01'), Synset('east.a.01'), Synset('cardinal.s.01'), None, Synset('cardinal.s.01'), Synset('asia.n.01')]"
5,buruli ulcer,buruli ulcer named buruli county uganda disease common 1960s disease reported 30 countries tropical climates may occur temperate regions west africa affected region,chronic painless skin nodule progresses severedeforming ulcer,contamination break skin bacilli environment bite infected aquatic insect mosquito,mycobacterium ulcerans,2–3 months several years infections progress disease,ziehl–neelsen stain smears biopsies culture takes 6–12 weeks pcr histopathology,"['buruli', 'ulcer', 'named', 'buruli', 'county', 'uganda', 'disease', 'common', '1960s', 'disease', 'reported', '30', 'countries', 'tropical', 'climates', 'may', 'occur', 'temperate', 'regions', 'west', 'africa', 'affected', 'region']","[('buruli', 'JJ'), ('ulcer', 'NN'), ('named', 'VBN'), ('buruli', 'JJ'), ('county', 'NN'), ('uganda', 'JJ'), ('disease', 'NN'), ('common', 'JJ'), ('1960s', 'CD'), ('disease', 'NN'), ('reported', 'VBD'), ('30', 'CD'), ('countries', 'NNS'), ('tropical', 'JJ'), ('climates', 'NNS'), ('may', 'MD'), ('occur', 'VB'), ('temperate', 'NN'), ('regions', 'NNS'), ('west', 'VBP'), ('africa', 'RB'), ('affected', 'JJ'), ('region', 'NN')]","[None, Synset('ulcer.n.01'), Synset('name.v.01'), None, Synset('county.n.01'), None, Synset('disease.n.01'), Synset('common.a.01'), None, Synset('disease.n.01'), Synset('report.v.01'), None, Synset('state.n.04'), Synset('tropical.s.01'), Synset('climate.n.01'), None, Synset('happen.v.01'), None, Synset('region.n.01'), None, None, Synset('affected.a.01'), Synset('region.n.01')]"
6,cholera,disease endemic indian subcontinent southeast asia subsaharan africa seasonal pattern one two peaks corresponding warm season areas overcrowding poor sanitation slums refugee camps regions political conflicts high risk cholera outbreaks,cfr typically 5 crowded refugee camps run high 50,consuming fecally contaminated food water raw undercooked contaminated shellfish persontoperson transmission indirect fecal–oral transmission,enterotoxinproducing vibrio cholerae 01 0139 bengal,hours 5 days usually 2–3 days,dipstick test bacterial culture,"['disease', 'endemic', 'indian', 'subcontinent', 'southeast', 'asia', 'subsaharan', 'africa', 'seasonal', 'pattern', 'one', 'two', 'peaks', 'corresponding', 'warm', 'season', 'areas', 'overcrowding', 'poor', 'sanitation', 'slums', 'refugee', 'camps', 'regions', 'political', 'conflicts', 'high', 'risk', 'cholera', 'outbreaks']","[('disease', 'NN'), ('endemic', 'JJ'), ('indian', 'JJ'), ('subcontinent', 'NN'), ('southeast', 'NN'), ('asia', 'NN'), ('subsaharan', 'NN'), ('africa', 'VBP'), ('seasonal', 'JJ'), ('pattern', 'JJ'), ('one', 'CD'), ('two', 'CD'), ('peaks', 'NNS'), ('corresponding', 'VBG'), ('warm', 'JJ'), ('season', 'NN'), ('areas', 'NNS'), ('overcrowding', 'VBG'), ('poor', 'JJ'), ('sanitation', 'NN'), ('slums', 'NNS'), ('refugee', 'VBP'), ('camps', 'JJ'), ('regions', 'NNS'), ('political', 'JJ'), ('conflicts', 'NNS'), ('high', 'JJ'), ('risk', 'NN'), ('cholera', 'NN'), ('outbreaks', 'NNS')]","[Synset('disease.n.01'), Synset('endemic.a.01'), Synset('indian.a.01'), Synset('subcontinent.n.01'), Synset('southeast.n.01'), Synset('asia.n.01'), None, None, Synset('seasonal.a.01'), None, None, None, Synset('extremum.n.02'), Synset('match.v.01'), Synset('warm.a.01'), Synset('season.n.01'), Synset('area.n.01'), Synset('overcrowd.v.01'), Synset('hapless.s.01'), Synset('sanitation.n.01'), Synset('slum.n.01'), None, None, Synset('region.n.01'), Synset('political.a.01'), Synset('conflict.n.01'), Synset('high.a.01'), Synset('hazard.n.01'), Synset('cholera.n.01'), Synset('outbreak.n.01')]"
7,diphtheria,early 20th century diphtheria leading cause death children aged 4–10 years europe many countries experienced large diphtheria outbreaks world war ii childhood vaccination virtually eliminated diphheria public health problem developed countries diph theria cases reported fallen almost 93 1980 2008,classically associated fever inflammation pharynx larynx pseudomembrane formation lymphadenopathy edema soft tissues neck nasal diphtheria usually mild chronic nasal discharge ulceration usually associated skin infections caused staphylococcus aureus group streptococci,respiratory droplets people respiratory diptheria asyumptomatic throat nasal carriers direct contact discharge skin cutaneous diphteria cases,corynebacterium diphtheriae grampositive aerobic rod,usually 2–5 days range 1–10 days,isolation c diphtheriae c ulcerans culture toxigenicity testing,"['early', '20th', 'century', 'diphtheria', 'leading', 'cause', 'death', 'children', 'aged', '4–10', 'years', 'europe', 'many', 'countries', 'experienced', 'large', 'diphtheria', 'outbreaks', 'world', 'war', 'ii', 'childhood', 'vaccination', 'virtually', 'eliminated', 'diphheria', 'public', 'health', 'problem', 'developed', 'countries', 'diph', 'theria', 'cases', 'reported', 'fallen', 'almost', '93', '1980', '2008']","[('early', 'RB'), ('20th', 'JJ'), ('century', 'NN'), ('diphtheria', 'NN'), ('leading', 'VBG'), ('cause', 'NN'), ('death', 'NN'), ('children', 'NNS'), ('aged', 'VBN'), ('4–10', 'CD'), ('years', 'NNS'), ('europe', 'RB'), ('many', 'JJ'), ('countries', 'NNS'), ('experienced', 'VBD'), ('large', 'JJ'), ('diphtheria', 'NNS'), ('outbreaks', 'JJ'), ('world', 'NN'), ('war', 'NN'), ('ii', 'NN'), ('childhood', 'NN'), ('vaccination', 'NN'), ('virtually', 'RB'), ('eliminated', 'VBD'), ('diphheria', 'JJ'), ('public', 'JJ'), ('health', 'NN'), ('problem', 'NN'), ('developed', 'VBD'), ('countries', 'NNS'), ('diph', 'VBP'), ('theria', 'NN'), ('cases', 'NNS'), ('reported', 'VBD'), ('fallen', 'VBN'), ('almost', 'RB'), ('93', 'CD'), ('1980', 'CD'), ('2008', 'CD')]","[Synset('early_on.r.01'), Synset('twentieth.s.01'), Synset('century.n.01'), Synset('diphtheria.n.01'), Synset('lead.v.01'), Synset('cause.n.01'), Synset('death.n.01'), Synset('child.n.01'), Synset('age.v.01'), None, Synset('old_age.n.01'), None, Synset('many.a.01'), Synset('state.n.04'), Synset('experience.v.01'), Synset('large.a.01'), Synset('diphtheria.n.01'), None, Synset('universe.n.01'), Synset('war.n.01'), Synset('two.n.01'), Synset('childhood.n.01'), Synset('inoculation.n.01'), Synset('virtually.r.01'), Synset('extinguish.v.04'), None, Synset('public.a.01'), Synset('health.n.01'), Synset('problem.n.01'), Synset('develop.v.01'), Synset('state.n.04'), None, None, Synset('case.n.01'), Synset('report.v.01'), Synset('fall.v.01'), Synset('about.r.07'), None, None, None]"
8,donovanosis,endemic tropical subtropical climates papua new guinea south africa parts india indonesia among aborigines australia usa common africanamericans people lower socioeconomic status poor hygiene,progressive chronic illness skin mucous membranes genital perigenital regions,sexual contact children history abuse,klebsiella granulomatis formerly calymmatobacterium granulumatis,approximately 50 days varies,cytodiagnostic histopathologic examination pcr,"['endemic', 'tropical', 'subtropical', 'climates', 'papua', 'new', 'guinea', 'south', 'africa', 'parts', 'india', 'indonesia', 'among', 'aborigines', 'australia', 'usa', 'common', 'africanamericans', 'people', 'lower', 'socioeconomic', 'status', 'poor', 'hygiene']","[('endemic', 'JJ'), ('tropical', 'JJ'), ('subtropical', 'JJ'), ('climates', 'NNS'), ('papua', 'VBP'), ('new', 'JJ'), ('guinea', 'NN'), ('south', 'NNS'), ('africa', 'JJ'), ('parts', 'NNS'), ('india', 'VBP'), ('indonesia', 'NN'), ('among', 'IN'), ('aborigines', 'NNS'), ('australia', 'NNS'), ('usa', 'JJ'), ('common', 'JJ'), ('africanamericans', 'NNS'), ('people', 'NNS'), ('lower', 'JJR'), ('socioeconomic', 'JJ'), ('status', 'NN'), ('poor', 'JJ'), ('hygiene', 'NN')]","[Synset('endemic.a.01'), Synset('tropical.s.01'), Synset('subtropical.a.01'), Synset('climate.n.01'), None, Synset('new.a.01'), Synset('guinea.n.01'), Synset('south.n.01'), None, Synset('parts.n.01'), None, Synset('indonesia.n.01'), None, Synset('native.n.01'), Synset('australia.n.01'), None, Synset('common.a.01'), None, Synset('people.n.01'), Synset('low.a.01'), Synset('socioeconomic.a.01'), Synset('status.n.01'), Synset('hapless.s.01'), Synset('hygiene.n.01')]"
9,ehrlichioses,ehrlichiosis occurs worldwide principally following distribution transmitting tick vectors reservoir species hme cases reported southcentral eastern usa americanum reaches high population densities n sennetsu fever occurs asian regions eating raw fish common japan,hme hga fever headache anorexia myalgia nausea vomiting occasionally rash sennetsu fever sudden onset fever chills malaise headache generalized lymphadenopathy,tick bites except n sennetsu,obligate intracellular pleomorphic bacteria family anaplasmataceae,7–10 days hme 7–14 days hga 14 days sennetsu fever,serology ifa acute convalescent serum crossreactivity occurs pcr acute phase whole blood isolation cell culture reference labs,"['ehrlichiosis', 'occurs', 'worldwide', 'principally', 'following', 'distribution', 'transmitting', 'tick', 'vectors', 'reservoir', 'species', 'hme', 'cases', 'reported', 'southcentral', 'eastern', 'usa', 'americanum', 'reaches', 'high', 'population', 'densities', 'n', 'sennetsu', 'fever', 'occurs', 'asian', 'regions', 'eating', 'raw', 'fish', 'common', 'japan']","[('ehrlichiosis', 'NN'), ('occurs', 'VBZ'), ('worldwide', 'RB'), ('principally', 'RB'), ('following', 'VBG'), ('distribution', 'NN'), ('transmitting', 'VBG'), ('tick', 'JJ'), ('vectors', 'NNS'), ('reservoir', 'VBP'), ('species', 'NNS'), ('hme', 'VBP'), ('cases', 'NNS'), ('reported', 'VBD'), ('southcentral', 'JJ'), ('eastern', 'JJ'), ('usa', 'JJ'), ('americanum', 'NN'), ('reaches', 'NNS'), ('high', 'JJ'), ('population', 'NN'), ('densities', 'NNS'), ('n', 'VBP'), ('sennetsu', 'JJ'), ('fever', 'NN'), ('occurs', 'VBZ'), ('asian', 'JJ'), ('regions', 'NNS'), ('eating', 'VBG'), ('raw', 'JJ'), ('fish', 'NN'), ('common', 'JJ'), ('japan', 'NN')]","[None, Synset('happen.v.01'), None, Synset('chiefly.r.01'), Synset('follow.v.01'), Synset('distribution.n.01'), Synset('convey.v.03'), None, Synset('vector.n.01'), None, Synset('species.n.01'), None, Synset('case.n.01'), Synset('report.v.01'), None, Synset('eastern.s.01'), None, None, Synset('range.n.02'), Synset('high.a.01'), Synset('population.n.01'), Synset('density.n.01'), None, None, Synset('fever.n.01'), Synset('happen.v.01'), Synset('asian.a.01'), Synset('region.n.01'), Synset('eat.v.01'), Synset('natural.s.07'), Synset('fish.n.01'), Synset('common.a.01'), Synset('japan.n.01')]"
